FIPS,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019
19049,Iowa,Dallas County,"66,135","93,453"
19051,Iowa,Davis County,"8,753","9,000"
19053,Iowa,Decatur County,"8,457","7,870"
19055,Iowa,Delaware County,"17,764","17,011"
19057,Iowa,Des Moines County,"40,325","38,967"
19059,Iowa,Dickinson County,"16,667","17,258"
19061,Iowa,Dubuque County,"93,653","97,311"
19063,Iowa,Emmet County,"10,302","9,208"
19065,Iowa,Fayette County,"20,880","19,650"
19067,Iowa,Floyd County,"16,303","15,642"
19069,Iowa,Franklin County,"10,680","10,070"
19071,Iowa,Fremont County,"7,441","6,960"
19073,Iowa,Greene County,"9,336","8,888"
19075,Iowa,Grundy County,"12,453","12,232"
19077,Iowa,Guthrie County,"10,954","10,689"
19079,Iowa,Hamilton County,"15,673","14,773"
19081,Iowa,Hancock County,"11,341","10,630"
19083,Iowa,Hardin County,"17,534","16,846"
19085,Iowa,Harrison County,"14,928","14,049"
19087,Iowa,Henry County,"20,145","19,954"
19089,Iowa,Howard County,"9,566","9,158"
19091,Iowa,Humboldt County,"9,815","9,558"
19093,Iowa,Ida County,"7,089","6,860"
19095,Iowa,Iowa County,"16,355","16,184"
19097,Iowa,Jackson County,"19,848","19,439"
19099,Iowa,Jasper County,"36,842","37,185"
19101,Iowa,Jefferson County,"16,843","18,295"
19103,Iowa,Johnson County,"130,882","151,140"
19105,Iowa,Jones County,"20,638","20,681"
19107,Iowa,Keokuk County,"10,511","10,246"
19109,Iowa,Kossuth County,"15,543","14,813"
19111,Iowa,Lee County,"35,862","33,657"
19113,Iowa,Linn County,"211,226","226,706"
19115,Iowa,Louisa County,"11,387","11,035"
19117,Iowa,Lucas County,"8,898","8,600"
19119,Iowa,Lyon County,"11,581","11,755"
19121,Iowa,Madison County,"15,679","16,338"
19123,Iowa,Mahaska County,"22,381","22,095"
19125,Iowa,Marion County,"33,309","33,253"
19127,Iowa,Marshall County,"40,648","39,369"
19129,Iowa,Mills County,"15,059","15,109"
19131,Iowa,Mitchell County,"10,776","10,586"
19133,Iowa,Monona County,"9,243","8,615"
19135,Iowa,Monroe County,"7,970","7,707"
19137,Iowa,Montgomery County,"10,740","9,917"
19139,Iowa,Muscatine County,"42,745","42,664"
19141,Iowa,O'Brien County,"14,398","13,753"
19143,Iowa,Osceola County,"6,462","5,958"
19145,Iowa,Page County,"15,932","15,107"
19147,Iowa,Palo Alto County,"9,421","8,886"
19149,Iowa,Plymouth County,"24,986","25,177"
19151,Iowa,Pocahontas County,"7,310","6,619"
19153,Iowa,Polk County,"430,640","490,161"
19155,Iowa,Pottawattamie County,"93,158","93,206"
19157,Iowa,Poweshiek County,"18,914","18,504"
19159,Iowa,Ringgold County,"5,131","4,894"
19161,Iowa,Sac County,"10,350","9,721"
19163,Iowa,Scott County,"165,224","172,943"
19165,Iowa,Shelby County,"12,167","11,454"
19167,Iowa,Sioux County,"33,704","34,855"
19169,Iowa,Story County,"89,542","97,117"
19171,Iowa,Tama County,"17,767","16,854"
19173,Iowa,Taylor County,"6,317","6,121"
19175,Iowa,Union County,"12,534","12,241"
19177,Iowa,Van Buren County,"7,570","7,044"
19179,Iowa,Wapello County,"35,625","34,969"
19181,Iowa,Warren County,"46,225","51,466"
19183,Iowa,Washington County,"21,704","21,965"
19185,Iowa,Wayne County,"6,403","6,441"
19187,Iowa,Webster County,"38,013","35,904"
19189,Iowa,Winnebago County,"10,866","10,354"
19191,Iowa,Winneshiek County,"21,056","19,991"
19193,Iowa,Woodbury County,"102,172","103,107"
19195,Iowa,Worth County,"7,598","7,381"
19197,Iowa,Wright County,"13,229","12,562"
2000,Alaska,Alaska,"710,231","731,545"
20000,Kansas,Kansas,"2,853,118","2,913,314"
20001,Kansas,Allen County,"13,371","12,369"
20003,Kansas,Anderson County,"8,102","7,858"
20005,Kansas,Atchison County,"16,924","16,073"
20007,Kansas,Barber County,"4,861","4,427"
20009,Kansas,Barton County,"27,674","25,779"
20011,Kansas,Bourbon County,"15,173","14,534"
20013,Kansas,Brown County,"9,984","9,564"
20015,Kansas,Butler County,"65,880","66,911"
20017,Kansas,Chase County,"2,790","2,648"
20019,Kansas,Chautauqua County,"3,669","3,250"
20021,Kansas,Cherokee County,"21,603","19,939"
20023,Kansas,Cheyenne County,"2,726","2,657"
20025,Kansas,Clark County,"2,215","1,994"
20027,Kansas,Clay County,"8,535","8,002"
20029,Kansas,Cloud County,"9,533","8,786"
20031,Kansas,Coffey County,"8,601","8,179"
20033,Kansas,Comanche County,"1,891","1,700"
20035,Kansas,Cowley County,"36,311","34,908"
20037,Kansas,Crawford County,"39,134","38,818"
20039,Kansas,Decatur County,"2,961","2,827"
20041,Kansas,Dickinson County,"19,754","18,466"
20043,Kansas,Doniphan County,"7,945","7,600"
20045,Kansas,Douglas County,"110,826","122,259"
20047,Kansas,Edwards County,"3,037","2,798"
20049,Kansas,Elk County,"2,882","2,530"
20051,Kansas,Ellis County,"28,452","28,553"
20053,Kansas,Ellsworth County,"6,497","6,102"
20055,Kansas,Finney County,"36,776","36,467"
20057,Kansas,Ford County,"33,848","33,619"
20059,Kansas,Franklin County,"25,992","25,544"
20061,Kansas,Geary County,"34,362","31,670"
20063,Kansas,Gove County,"2,695","2,636"
20065,Kansas,Graham County,"2,597","2,482"
20067,Kansas,Grant County,"7,829","7,150"
20069,Kansas,Gray County,"6,006","5,988"
20071,Kansas,Greeley County,"1,247","1,232"
20073,Kansas,Greenwood County,"6,689","5,982"
20075,Kansas,Hamilton County,"2,690","2,539"
20077,Kansas,Harper County,"6,034","5,436"
20079,Kansas,Harvey County,"34,684","34,429"
20081,Kansas,Haskell County,"4,256","3,968"
20083,Kansas,Hodgeman County,"1,916","1,794"
20085,Kansas,Jackson County,"13,462","13,171"
20087,Kansas,Jefferson County,"19,126","19,043"
20089,Kansas,Jewell County,"3,077","2,879"
20091,Kansas,Johnson County,"544,179","602,401"
20093,Kansas,Kearny County,"3,977","3,838"
20095,Kansas,Kingman County,"7,858","7,152"
20097,Kansas,Kiowa County,"2,553","2,475"
20099,Kansas,Labette County,"21,607","19,618"
20101,Kansas,Lane County,"1,750","1,535"
20103,Kansas,Leavenworth County,"76,227","81,758"
20105,Kansas,Lincoln County,"3,241","2,962"
20107,Kansas,Linn County,"9,656","9,703"
20109,Kansas,Logan County,"2,756","2,794"
20111,Kansas,Lyon County,"33,690","33,195"
20113,Kansas,McPherson County,"29,180","28,542"
20115,Kansas,Marion County,"12,660","11,884"
20117,Kansas,Marshall County,"10,117","9,707"
20119,Kansas,Meade County,"4,575","4,033"
20121,Kansas,Miami County,"32,787","34,237"
20123,Kansas,Mitchell County,"6,373","5,979"
20125,Kansas,Montgomery County,"35,471","31,829"
20127,Kansas,Morris County,"5,923","5,620"
20129,Kansas,Morton County,"3,233","2,587"
2013,Alaska,Aleutians East Borough,"3,141","3,337"
20131,Kansas,Nemaha County,"10,178","10,231"
20133,Kansas,Neosho County,"16,512","16,007"
20135,Kansas,Ness County,"3,107","2,750"
20137,Kansas,Norton County,"5,671","5,361"
20139,Kansas,Osage County,"16,295","15,949"
20141,Kansas,Osborne County,"3,858","3,421"
20143,Kansas,Ottawa County,"6,091","5,704"
20145,Kansas,Pawnee County,"6,973","6,414"
20147,Kansas,Phillips County,"5,642","5,234"
20149,Kansas,Pottawatomie County,"21,604","24,383"
20151,Kansas,Pratt County,"9,656","9,164"
20153,Kansas,Rawlins County,"2,519","2,530"
20155,Kansas,Reno County,"64,511","61,998"
20157,Kansas,Republic County,"4,980","4,636"
20159,Kansas,Rice County,"10,083","9,537"
2016,Alaska,Aleutians West Census Area,"5,561","5,634"
20161,Kansas,Riley County,"71,115","74,232"
20163,Kansas,Rooks County,"5,181","4,920"
20165,Kansas,Rush County,"3,307","3,036"
20167,Kansas,Russell County,"6,970","6,856"
20169,Kansas,Saline County,"55,606","54,224"
20171,Kansas,Scott County,"4,936","4,823"
20173,Kansas,Sedgwick County,"498,365","516,042"
20175,Kansas,Seward County,"22,952","21,428"
20177,Kansas,Shawnee County,"177,934","176,875"
20179,Kansas,Sheridan County,"2,556","2,521"
20181,Kansas,Sherman County,"6,010","5,917"
20183,Kansas,Smith County,"3,853","3,583"
20185,Kansas,Stafford County,"4,437","4,156"
20187,Kansas,Stanton County,"2,235","2,006"
20189,Kansas,Stevens County,"5,724","5,485"
20191,Kansas,Sumner County,"24,132","22,836"
20193,Kansas,Thomas County,"7,900","7,777"
20195,Kansas,Trego County,"3,001","2,803"
20197,Kansas,Wabaunsee County,"7,053","6,931"
20199,Kansas,Wallace County,"1,485","1,518"
2020,Alaska,Anchorage Municipality,"291,826","288,000"
20201,Kansas,Washington County,"5,799","5,406"
20203,Kansas,Wichita County,"2,234","2,119"
20205,Kansas,Wilson County,"9,409","8,525"
20207,Kansas,Woodson County,"3,309","3,138"
20209,Kansas,Wyandotte County,"157,505","165,429"
2050,Alaska,Bethel Census Area,"17,013","18,386"
2060,Alaska,Bristol Bay Borough,997,836
2068,Alaska,Denali Borough,"1,826","2,097"
2070,Alaska,Dillingham Census Area,"4,847","4,916"
2090,Alaska,Fairbanks North Star Borough,"97,581","96,849"
2100,Alaska,Haines Borough,"2,508","2,530"
21000,Kentucky,Kentucky,"4,339,367","4,467,673"
21001,Kentucky,Adair County,"18,656","19,202"
21003,Kentucky,Allen County,"19,956","21,315"
21005,Kentucky,Anderson County,"21,421","22,747"
21007,Kentucky,Ballard County,"8,249","7,888"
21009,Kentucky,Barren County,"42,173","44,249"
21011,Kentucky,Bath County,"11,591","12,500"
21013,Kentucky,Bell County,"28,691","26,032"
21015,Kentucky,Boone County,"118,811","133,581"
21017,Kentucky,Bourbon County,"19,985","19,788"
21019,Kentucky,Boyd County,"49,542","46,718"
21021,Kentucky,Boyle County,"28,432","30,060"
21023,Kentucky,Bracken County,"8,488","8,303"
21025,Kentucky,Breathitt County,"13,878","12,630"
21027,Kentucky,Breckinridge County,"20,059","20,477"
21029,Kentucky,Bullitt County,"74,319","81,676"
21031,Kentucky,Butler County,"12,690","12,879"
21033,Kentucky,Caldwell County,"12,984","12,747"
21035,Kentucky,Calloway County,"37,191","39,001"
21037,Kentucky,Campbell County,"90,336","93,584"
21039,Kentucky,Carlisle County,"5,104","4,760"
21041,Kentucky,Carroll County,"10,811","10,631"
21043,Kentucky,Carter County,"27,720","26,797"
21045,Kentucky,Casey County,"15,955","16,159"
21047,Kentucky,Christian County,"73,955","70,461"
21049,Kentucky,Clark County,"35,613","36,263"
2105,Alaska,Hoonah-Angoon Census Area,"2,150","2,148"
21051,Kentucky,Clay County,"21,730","19,901"
21053,Kentucky,Clinton County,"10,272","10,218"
21055,Kentucky,Crittenden County,"9,315","8,806"
21057,Kentucky,Cumberland County,"6,856","6,614"
21059,Kentucky,Daviess County,"96,656","101,511"
21061,Kentucky,Edmonson County,"12,161","12,150"
21063,Kentucky,Elliott County,"7,852","7,517"
21065,Kentucky,Estill County,"14,672","14,106"
21067,Kentucky,Fayette County,"295,803","323,152"
21069,Kentucky,Fleming County,"14,348","14,581"
21071,Kentucky,Floyd County,"39,451","35,589"
21073,Kentucky,Franklin County,"49,285","50,991"
21075,Kentucky,Fulton County,"6,813","5,969"
21077,Kentucky,Gallatin County,"8,589","8,869"
21079,Kentucky,Garrard County,"16,912","17,666"
21081,Kentucky,Grant County,"24,662","25,069"
21083,Kentucky,Graves County,"37,121","37,266"
21085,Kentucky,Grayson County,"25,746","26,427"
21087,Kentucky,Green County,"11,258","10,941"
21089,Kentucky,Greenup County,"36,910","35,098"
21091,Kentucky,Hancock County,"8,565","8,722"
21093,Kentucky,Hardin County,"105,543","110,958"
21095,Kentucky,Harlan County,"29,278","26,010"
21097,Kentucky,Harrison County,"18,846","18,886"
21099,Kentucky,Hart County,"18,199","19,035"
2110,Alaska,Juneau City and Borough,"31,275","31,974"
21101,Kentucky,Henderson County,"46,250","45,210"
21103,Kentucky,Henry County,"15,416","16,126"
21105,Kentucky,Hickman County,"4,902","4,380"
21107,Kentucky,Hopkins County,"46,920","44,686"
21109,Kentucky,Jackson County,"13,494","13,329"
21111,Kentucky,Jefferson County,"741,096","766,757"
21113,Kentucky,Jessamine County,"48,586","54,115"
21115,Kentucky,Johnson County,"23,356","22,188"
21117,Kentucky,Kenton County,"159,720","166,998"
21119,Kentucky,Knott County,"16,346","14,806"
21121,Kentucky,Knox County,"31,883","31,145"
21123,Kentucky,Larue County,"14,193","14,398"
21125,Kentucky,Laurel County,"58,849","60,813"
21127,Kentucky,Lawrence County,"15,860","15,317"
21129,Kentucky,Lee County,"7,887","7,403"
21131,Kentucky,Leslie County,"11,310","9,877"
21133,Kentucky,Letcher County,"24,519","21,553"
21135,Kentucky,Lewis County,"13,870","13,275"
21137,Kentucky,Lincoln County,"24,742","24,549"
21139,Kentucky,Livingston County,"9,519","9,194"
21141,Kentucky,Logan County,"26,835","27,102"
21143,Kentucky,Lyon County,"8,314","8,210"
21145,Kentucky,McCracken County,"65,565","65,418"
21147,Kentucky,McCreary County,"18,306","17,231"
21149,Kentucky,McLean County,"9,531","9,207"
21151,Kentucky,Madison County,"82,916","92,987"
21153,Kentucky,Magoffin County,"13,333","12,161"
21155,Kentucky,Marion County,"19,820","19,273"
21157,Kentucky,Marshall County,"31,448","31,100"
21159,Kentucky,Martin County,"12,929","11,195"
21161,Kentucky,Mason County,"17,490","17,070"
21163,Kentucky,Meade County,"28,602","28,572"
21165,Kentucky,Menifee County,"6,306","6,489"
21167,Kentucky,Mercer County,"21,331","21,933"
21169,Kentucky,Metcalfe County,"10,099","10,071"
21171,Kentucky,Monroe County,"10,963","10,650"
21173,Kentucky,Montgomery County,"26,499","28,157"
21175,Kentucky,Morgan County,"13,923","13,309"
21177,Kentucky,Muhlenberg County,"31,499","30,622"
21179,Kentucky,Nelson County,"43,437","46,233"
21181,Kentucky,Nicholas County,"7,135","7,269"
21183,Kentucky,Ohio County,"23,842","23,994"
21185,Kentucky,Oldham County,"60,316","66,799"
21187,Kentucky,Owen County,"10,841","10,901"
21189,Kentucky,Owsley County,"4,755","4,415"
21191,Kentucky,Pendleton County,"14,877","14,590"
21193,Kentucky,Perry County,"28,712","25,758"
21195,Kentucky,Pike County,"65,024","57,876"
21197,Kentucky,Powell County,"12,613","12,359"
21199,Kentucky,Pulaski County,"63,063","64,979"
21201,Kentucky,Robertson County,"2,282","2,108"
21203,Kentucky,Rockcastle County,"17,056","16,695"
21205,Kentucky,Rowan County,"23,333","24,460"
21207,Kentucky,Russell County,"17,565","17,923"
21209,Kentucky,Scott County,"47,173","57,004"
21211,Kentucky,Shelby County,"42,074","49,024"
21213,Kentucky,Simpson County,"17,327","18,572"
21215,Kentucky,Spencer County,"17,061","19,351"
21217,Kentucky,Taylor County,"24,512","25,769"
21219,Kentucky,Todd County,"12,460","12,294"
2122,Alaska,Kenai Peninsula Borough,"55,400","58,708"
21221,Kentucky,Trigg County,"14,339","14,651"
21223,Kentucky,Trimble County,"8,809","8,471"
21225,Kentucky,Union County,"15,007","14,381"
21227,Kentucky,Warren County,"113,792","132,896"
21229,Kentucky,Washington County,"11,717","12,095"
21231,Kentucky,Wayne County,"20,813","20,333"
21233,Kentucky,Webster County,"13,621","12,942"
21235,Kentucky,Whitley County,"35,637","36,264"
21237,Kentucky,Wolfe County,"7,355","7,157"
21239,Kentucky,Woodford County,"24,939","26,734"
2130,Alaska,Ketchikan Gateway Borough,"13,477","13,901"
2150,Alaska,Kodiak Island Borough,"13,592","12,998"
2158,Alaska,Kusilvak Census Area,"7,459","8,314"
2164,Alaska,Lake and Peninsula Borough,"1,631","1,592"
2170,Alaska,Matanuska-Susitna Borough,"88,995","108,317"
2180,Alaska,Nome Census Area,"9,492","10,004"
2185,Alaska,North Slope Borough,"9,430","9,832"
2188,Alaska,Northwest Arctic Borough,"7,523","7,621"
2195,Alaska,Petersburg Borough,"3,815","3,266"
2198,Alaska,Prince of Wales-Hyder Census Area,"5,559","6,203"
22000,Louisiana,Louisiana,"4,533,372","4,648,794"
22001,Louisiana,Acadia Parish,"61,773","62,045"
22003,Louisiana,Allen Parish,"25,764","25,627"
22005,Louisiana,Ascension Parish,"107,215","126,604"
22007,Louisiana,Assumption Parish,"23,421","21,891"
22009,Louisiana,Avoyelles Parish,"42,073","40,144"
22011,Louisiana,Beauregard Parish,"35,654","37,497"
22013,Louisiana,Bienville Parish,"14,353","13,241"
22015,Louisiana,Bossier Parish,"116,979","127,039"
22017,Louisiana,Caddo Parish,"254,969","240,204"
22019,Louisiana,Calcasieu Parish,"192,768","203,436"
22021,Louisiana,Caldwell Parish,"10,132","9,918"
22023,Louisiana,Cameron Parish,"6,839","6,973"
22025,Louisiana,Catahoula Parish,"10,407","9,494"
22027,Louisiana,Claiborne Parish,"17,195","15,670"
22029,Louisiana,Concordia Parish,"20,822","19,259"
22031,Louisiana,De Soto Parish,"26,656","27,463"
22033,Louisiana,East Baton Rouge Parish,"440,171","440,059"
22035,Louisiana,East Carroll Parish,"7,759","6,861"
22037,Louisiana,East Feliciana Parish,"20,267","19,135"
22039,Louisiana,Evangeline Parish,"33,984","33,395"
22041,Louisiana,Franklin Parish,"20,767","20,015"
22043,Louisiana,Grant Parish,"22,309","22,389"
22045,Louisiana,Iberia Parish,"73,240","69,830"
22047,Louisiana,Iberville Parish,"33,387","32,511"
22049,Louisiana,Jackson Parish,"16,274","15,744"
22051,Louisiana,Jefferson Parish,"432,552","432,493"
22053,Louisiana,Jefferson Davis Parish,"31,594","31,368"
22055,Louisiana,Lafayette Parish,"221,578","244,390"
22057,Louisiana,Lafourche Parish,"96,318","97,614"
22059,Louisiana,LaSalle Parish,"14,890","14,892"
22061,Louisiana,Lincoln Parish,"46,735","46,742"
22063,Louisiana,Livingston Parish,"128,026","140,789"
22065,Louisiana,Madison Parish,"12,093","10,951"
22067,Louisiana,Morehouse Parish,"27,979","24,874"
22069,Louisiana,Natchitoches Parish,"39,566","38,158"
22071,Louisiana,Orleans Parish,"343,829","390,144"
22073,Louisiana,Ouachita Parish,"153,720","153,279"
22075,Louisiana,Plaquemines Parish,"23,042","23,197"
22077,Louisiana,Pointe Coupee Parish,"22,802","21,730"
22079,Louisiana,Rapides Parish,"131,613","129,648"
22081,Louisiana,Red River Parish,"9,091","8,442"
22083,Louisiana,Richland Parish,"20,725","20,122"
22085,Louisiana,Sabine Parish,"24,233","23,884"
22087,Louisiana,St. Bernard Parish,"35,897","47,244"
22089,Louisiana,St. Charles Parish,"52,780","53,100"
22091,Louisiana,St. Helena Parish,"11,203","10,132"
22093,Louisiana,St. James Parish,"22,102","21,096"
22095,Louisiana,St. John the Baptist Parish,"45,924","42,837"
22097,Louisiana,St. Landry Parish,"83,384","82,124"
22099,Louisiana,St. Martin Parish,"52,160","53,431"
22101,Louisiana,St. Mary Parish,"54,650","49,348"
22103,Louisiana,St. Tammany Parish,"233,740","260,419"
22105,Louisiana,Tangipahoa Parish,"121,097","134,758"
22107,Louisiana,Tensas Parish,"5,252","4,334"
22109,Louisiana,Terrebonne Parish,"111,860","110,461"
22111,Louisiana,Union Parish,"22,721","22,108"
22113,Louisiana,Vermilion Parish,"57,999","59,511"
22115,Louisiana,Vernon Parish,"52,334","47,429"
22117,Louisiana,Washington Parish,"47,168","46,194"
22119,Louisiana,Webster Parish,"41,207","38,340"
22121,Louisiana,West Baton Rouge Parish,"23,788","26,465"
22123,Louisiana,West Carroll Parish,"11,604","10,830"
22125,Louisiana,West Feliciana Parish,"15,625","15,568"
22127,Louisiana,Winn Parish,"15,313","13,904"
2220,Alaska,Sitka City and Borough,"8,881","8,493"
2230,Alaska,Skagway Municipality,968,"1,183"
2240,Alaska,Southeast Fairbanks Census Area,"7,029","6,893"
2261,Alaska,Valdez-Cordova Census Area,"9,636","9,202"
2275,Alaska,Wrangell City and Borough,"2,369","2,502"
2282,Alaska,Yakutat City and Borough,662,579
2290,Alaska,Yukon-Koyukuk Census Area,"5,588","5,230"
23000,Maine,Maine,"1,328,361","1,344,212"
23001,Maine,Androscoggin County,"107,702","108,277"
23003,Maine,Aroostook County,"71,870","67,055"
23005,Maine,Cumberland County,"281,674","295,003"
23007,Maine,Franklin County,"30,768","30,199"
23009,Maine,Hancock County,"54,418","54,987"
23011,Maine,Kennebec County,"122,151","122,302"
23013,Maine,Knox County,"39,736","39,772"
23015,Maine,Lincoln County,"34,457","34,634"
23017,Maine,Oxford County,"57,833","57,975"
23019,Maine,Penobscot County,"153,923","152,148"
23021,Maine,Piscataquis County,"17,535","16,785"
23023,Maine,Sagadahoc County,"35,293","35,856"
23025,Maine,Somerset County,"52,228","50,484"
23027,Maine,Waldo County,"38,786","39,715"
23029,Maine,Washington County,"32,856","31,379"
23031,Maine,York County,"197,131","207,641"
24000,Maryland,Maryland,"5,773,552","6,045,680"
24001,Maryland,Allegany County,"75,087","70,416"
24003,Maryland,Anne Arundel County,"537,656","579,234"
24005,Maryland,Baltimore County,"805,029","827,370"
24009,Maryland,Calvert County,"88,737","92,525"
24011,Maryland,Caroline County,"33,066","33,406"
24013,Maryland,Carroll County,"167,134","168,447"
24015,Maryland,Cecil County,"101,108","102,855"
24017,Maryland,Charles County,"146,551","163,257"
24019,Maryland,Dorchester County,"32,618","31,929"
24021,Maryland,Frederick County,"233,385","259,547"
24023,Maryland,Garrett County,"30,097","29,014"
24025,Maryland,Harford County,"244,826","255,441"
24027,Maryland,Howard County,"287,085","325,690"
24029,Maryland,Kent County,"20,197","19,422"
24031,Maryland,Montgomery County,"971,777","1,050,688"
24033,Maryland,Prince George's County,"863,420","909,327"
24035,Maryland,Queen Anne's County,"47,798","50,381"
24037,Maryland,St. Mary's County,"105,151","113,510"
24039,Maryland,Somerset County,"26,470","25,616"
24041,Maryland,Talbot County,"37,782","37,181"
24043,Maryland,Washington County,"147,430","151,049"
24045,Maryland,Wicomico County,"98,733","103,609"
24047,Maryland,Worcester County,"51,454","52,276"
24510,Maryland,Baltimore city,"620,961","593,490"
25000,Massachusetts,Massachusetts,"6,547,629","6,892,503"
25001,Massachusetts,Barnstable County,"215,888","212,990"
25003,Massachusetts,Berkshire County,"131,219","124,944"
25005,Massachusetts,Bristol County,"548,285","565,217"
25007,Massachusetts,Dukes County,"16,535","17,332"
25009,Massachusetts,Essex County,"743,159","789,034"
25011,Massachusetts,Franklin County,"71,372","70,180"
25013,Massachusetts,Hampden County,"463,490","466,372"
25015,Massachusetts,Hampshire County,"158,080","160,830"
25017,Massachusetts,Middlesex County,"1,503,085","1,611,699"
25019,Massachusetts,Nantucket County,"10,172","11,399"
25021,Massachusetts,Norfolk County,"670,850","706,775"
25023,Massachusetts,Plymouth County,"494,919","521,202"
25025,Massachusetts,Suffolk County,"722,023","803,907"
25027,Massachusetts,Worcester County,"798,552","830,622"
26000,Michigan,Michigan,"9,883,640","9,986,857"
26001,Michigan,Alcona County,"10,942","10,405"
26003,Michigan,Alger County,"9,601","9,108"
26005,Michigan,Allegan County,"111,408","118,081"
26007,Michigan,Alpena County,"29,598","28,405"
26009,Michigan,Antrim County,"23,580","23,324"
26011,Michigan,Arenac County,"15,899","14,883"
26013,Michigan,Baraga County,"8,860","8,209"
26015,Michigan,Barry County,"59,173","61,550"
26017,Michigan,Bay County,"107,771","103,126"
26019,Michigan,Benzie County,"17,525","17,766"
26021,Michigan,Berrien County,"156,813","153,401"
26023,Michigan,Branch County,"45,248","43,517"
26025,Michigan,Calhoun County,"136,146","134,159"
26027,Michigan,Cass County,"52,293","51,787"
26029,Michigan,Charlevoix County,"25,949","26,143"
26031,Michigan,Cheboygan County,"26,152","25,276"
26033,Michigan,Chippewa County,"38,520","37,349"
26035,Michigan,Clare County,"30,926","30,950"
26037,Michigan,Clinton County,"75,382","79,595"
26039,Michigan,Crawford County,"14,074","14,029"
26041,Michigan,Delta County,"37,069","35,784"
26043,Michigan,Dickinson County,"26,168","25,239"
26045,Michigan,Eaton County,"107,759","110,268"
26047,Michigan,Emmet County,"32,694","33,415"
26049,Michigan,Genesee County,"425,790","405,813"
26051,Michigan,Gladwin County,"25,692","25,449"
26053,Michigan,Gogebic County,"16,427","13,975"
26055,Michigan,Grand Traverse County,"86,986","93,088"
26057,Michigan,Gratiot County,"42,476","40,711"
26059,Michigan,Hillsdale County,"46,688","45,605"
26061,Michigan,Houghton County,"36,628","35,684"
26063,Michigan,Huron County,"33,118","30,981"
26065,Michigan,Ingham County,"280,895","292,406"
26067,Michigan,Ionia County,"63,905","64,697"
26069,Michigan,Iosco County,"25,887","25,127"
26071,Michigan,Iron County,"11,817","11,066"
26073,Michigan,Isabella County,"70,311","69,872"
26075,Michigan,Jackson County,"160,248","158,510"
26077,Michigan,Kalamazoo County,"250,331","265,066"
26079,Michigan,Kalkaska County,"17,153","18,038"
26081,Michigan,Kent County,"602,622","656,955"
26083,Michigan,Keweenaw County,"2,156","2,116"
26085,Michigan,Lake County,"11,539","11,853"
26087,Michigan,Lapeer County,"88,319","87,607"
26089,Michigan,Leelanau County,"21,708","21,761"
26091,Michigan,Lenawee County,"99,892","98,451"
26093,Michigan,Livingston County,"180,967","191,995"
26095,Michigan,Luce County,"6,631","6,229"
26097,Michigan,Mackinac County,"11,113","10,799"
26099,Michigan,Macomb County,"840,978","873,972"
26101,Michigan,Manistee County,"24,733","24,558"
26103,Michigan,Marquette County,"67,077","66,699"
26105,Michigan,Mason County,"28,705","29,144"
26107,Michigan,Mecosta County,"42,798","43,453"
26109,Michigan,Menominee County,"24,029","22,780"
26111,Michigan,Midland County,"83,629","83,156"
26113,Michigan,Missaukee County,"14,849","15,118"
26115,Michigan,Monroe County,"152,021","150,500"
26117,Michigan,Montcalm County,"63,342","63,888"
26119,Michigan,Montmorency County,"9,765","9,328"
26121,Michigan,Muskegon County,"172,188","173,566"
26123,Michigan,Newaygo County,"48,460","48,980"
26125,Michigan,Oakland County,"1,202,362","1,257,584"
26127,Michigan,Oceana County,"26,570","26,467"
26129,Michigan,Ogemaw County,"21,699","20,997"
26131,Michigan,Ontonagon County,"6,780","5,720"
26133,Michigan,Osceola County,"23,528","23,460"
26135,Michigan,Oscoda County,"8,640","8,241"
26137,Michigan,Otsego County,"24,164","24,668"
26139,Michigan,Ottawa County,"263,801","291,830"
26141,Michigan,Presque Isle County,"13,376","12,592"
26143,Michigan,Roscommon County,"24,449","24,019"
26145,Michigan,Saginaw County,"200,169","190,539"
26147,Michigan,St. Clair County,"163,040","159,128"
26149,Michigan,St. Joseph County,"61,295","60,964"
26151,Michigan,Sanilac County,"43,114","41,170"
26153,Michigan,Schoolcraft County,"8,485","8,094"
26155,Michigan,Shiawassee County,"70,648","68,122"
26157,Michigan,Tuscola County,"55,729","52,245"
26159,Michigan,Van Buren County,"76,258","75,677"
26161,Michigan,Washtenaw County,"344,791","367,601"
26163,Michigan,Wayne County,"1,820,584","1,749,343"
26165,Michigan,Wexford County,"32,735","33,631"
27000,Minnesota,Minnesota,"5,303,925","5,639,632"
27001,Minnesota,Aitkin County,"16,202","15,886"
27003,Minnesota,Anoka County,"330,844","356,921"
27005,Minnesota,Becker County,"32,504","34,423"
27007,Minnesota,Beltrami County,"44,442","47,188"
27009,Minnesota,Benton County,"38,451","40,889"
27011,Minnesota,Big Stone County,"5,269","4,991"
27013,Minnesota,Blue Earth County,"64,013","67,653"
27015,Minnesota,Brown County,"25,893","25,008"
27017,Minnesota,Carlton County,"35,386","35,871"
27019,Minnesota,Carver County,"91,042","105,089"
27021,Minnesota,Cass County,"28,567","29,779"
27023,Minnesota,Chippewa County,"12,441","11,800"
27025,Minnesota,Chisago County,"53,887","56,579"
27027,Minnesota,Clay County,"58,999","64,222"
27029,Minnesota,Clearwater County,"8,695","8,818"
27031,Minnesota,Cook County,"5,176","5,463"
